"id","severite","categorie","titre","fichier","lignes","preuve_commande","impact","sprint","statut"
"DATA-04","P1-majeur","Données","Le coffre de preuves n'existe que pour 1 profil sur 6","src/data/evaluationsCatalog.ts","215-217 (EVALUATIONS_BY_PROFILE n'a qu'une cle 'profile-nathan-cabrol')","Nathan : '55 preuves dans le coffre' ; les 5 autres profils : profil.evaluations = 0","La vue 'Mes evaluations' est vide pour 5 profils sur 6","S3","Ouvert"
"DATA-05","P2-mineur","Données","13 noeuds du profil de reference n'ont aucune evidence","src/data/nathanProfile.ts","(noeuds sans champ evidence)","node tools/audit/data-audit.mjs -> Nathan: nœuds sans preuve = 13 sur 58","Le panneau Source/Mission/Resultat/Contexte/Validation de NodeInspectorModal est vide pour ces 13","S3","Ouvert"
"CONTENT-01","P1-majeur","Contenu / intégrité","4 experiences affichent le poster d'un AUTRE paradigme, 1 affiche une image de couverture","src/components/ExperimentStudio.tsx","23-38 (POSTER_ART) ; 34 (JOL->coverMetacog), 35 (NBACK->posterSternberg), 36 (BISECT->posterSperling), 37 (REPRO->posterSerial), 38 (TOJ->posterChange)","ls src/assets/images/poster-*.jpg -> 10 images pour 15 protocoles (LAB_EXPERIMENTS=15, LAB_DEMOS couvre les 15)","Le bug le plus couteux en credibilite pour un produit dont l'argument est la rigueur epistemique","S2","Ouvert"
"CONTENT-02","P1-majeur","Contenu / dépendances","176 fiches d'outils dependent de 4 services de hotlink tiers","src/utils/toolVisuals.ts ; src/assets/outils/","46 (logo.clearbit.com, deprecie), 47 (google s2/favicons), 48 (icons.duckduckgo.com), 55 (s.wordpress.com/mshots/v1)","ls src/assets/outils/ -> uniquement README.md ; LOCAL_SHOTS et LOCAL_LOGOS (import.meta.glob) sont donc vides","Capture live d'un site tiers injectee dans la page ; aucune garantie hors-ligne ni en demo","S5","Ouvert"
"CONTENT-03","P1-majeur","Contenu / architecture","La section Savoirs (5 vues) est integralement deconnectee du profil","src/components/PsychologyAtlasView.tsx, ExperimentStudio.tsx, MetacogLoopView.tsx, PsyRefView.tsx, ResourcesView.tsx","(les 5 vues)","node tools/audit/runtime-probe.mjs -> longueur de texte IDENTIQUE pour les 6 profils : atlas 5824, posters 4215, metacog 837, psyref 9019, ressources 3714","~2700 lignes de composants et ~3000 lignes de donnees statiques ; savoirsLinks.ts fournit deja RelatedBundle mais n'est branche que sur l'atlas","S5","Ouvert"
"CONTENT-03b","P2-mineur","Contenu","MetacogLoopView : la vue la plus pauvre pour un pilier du positionnement (SRL/Zimmerman)","src/components/MetacogLoopView.tsx","73 et 96 (slice(0, 20))","837 caracteres de texte rendus ; historique plafonne a 20 entrees ; 6 champs libres","Le modele en 3 phases de zimmerman2000 (cite dans psyRefLibrary, 4169 citations) n'est pas exploite","S5","Ouvert"
"CONTENT-04","P2-mineur","Contenu","230 URLs externes jamais verifiees","src/data/{savoirsResources,psyRefLibrary,psyRefSources,experimentCatalog,savoirsOutilsCatalog}.ts","(230 URLs uniques, 22 DOI)","node tools/audit/content-audit.mjs section 2 -> 'fetch failed' sur les 40 testees : la sandbox n'a pas de sortie HTTPS (curl https://doi.org -> code 000). NON VERIFIE","Risque de liens morts en production ; a mettre en CI","S6","Ouvert (non verifiable ici)"
"STORE-01","P1-majeur","Persistance","Une cle localStorage unique pour les 6 profils, aucune version de schema, aucune migration","src/App.tsx","35 (STORAGE_KEY 'cognitorium_active_profile_v10_full_fusion'), 40-42 (JSON.parse sans validation), 67","node tools/audit/interaction-probe.mjs -> 78774 octets sauvegardes, aucun champ de version ; bascule vers Pierre DENIAUD -> la cle ne contient plus que profile-pierre-deniaud","Changer de profil ecrase les modifications du precedent ; aucune migration incrementale possible","S4","Ouvert"
"PERF-01","P1-majeur","Performance","6,7 Mo de JavaScript en un seul chunk, romeData charge au premier octet","src/data/romeData.ts ; vite.config.ts","romeData.ts = 5,6 Mo / 23686 lignes sur 6,0 Mo de src/data","npx vite build -> dist/assets/index-*.js 6726975 octets, gzip 1380500 ; avertissement rollup 'chunks larger than 500 kB' ; aucun import() dynamique dans src/","~1,4 Mo gzip avant la premiere interaction sur mobile 4G","S4","Ouvert"
"A11Y-01","P1-majeur","Accessibilité","259 boutons / 5 aria-label ; 4 graphes canvas sans alternative ; 5 img sans alt","src/**/*.tsx","(projet entier)","grep -c '<button' -> 259 ; grep -c 'aria-label' -> 5 ; grep -c 'role=' -> 3 ; grep -c 'tabIndex' -> 0 ; 6 <img> dont 1 avec alt= ; 4 <canvas> interactifs (NetworkGraph, TemporalNetworkGraph, MetiersGraph, DisciplineGraph)","Le coeur du produit (les 4 graphes) est inaccessible au clavier et aux lecteurs d'ecran","S4","Ouvert"
"A11Y-01b","P2-mineur","Accessibilité","Boutons de fermeture de modales = icones nues sans etiquette","src/components/ValidationCenterModal.tsx","89 (onClick={onClose}) + <X className> sans aria-label","La sonde d'interaction qui cherche un bouton 'Fermer' ne le trouve pas ; meme motif dans OnboardingModal, QuickAddNodeModal, ExperienceDistillerModal","Modales non fermables au clavier de facon fiable","S4","Ouvert"
"UX-01","P1-majeur","UX / mobile","Sous 1024 px, il n'y a ni bouton Creer ni bouton Reset","src/components/Header.tsx","247 (<div className='hidden lg:flex'> englobe reset + MotionCreateButton)","Lecture du JSX ; seul recours : #dash-btn-open-distiller (DashboardView.tsx:148), absent des 14 autres vues","L'action principale de creation est invisible sur mobile","S4","Ouvert"
"UX-02","P2-mineur","UX","La section 'Mes competences' n'a pas de bouton de vue","src/components/Header.tsx","228 (condition length > 1) ; SECTION_VIEWS.competences n'a qu'une entree","Lecture du code : la barre de modes ne s'affiche que si la section a >= 2 vues","La 'Matrice de maitrise' n'existe que comme valeur par defaut, jamais comme choix","S4","Ouvert"
"DEAD-01","P2-mineur","Dette technique","469 lignes de code mort + une dependance three.js inutile","src/components/savoirs/TopicGraph.tsx (106 l.) ; src/components/atlas/ConstellationAtlas.tsx (363 l.)","(fichiers entiers)","grep -rn 'TopicGraph|ConstellationAtlas' src/ --include=*.tsx | grep -v 'le fichier lui-meme' -> 0 importation ; grep -c WebGLRenderer dist/assets/index-*.js -> 0","three ^0.185.1 + @types/three sont declares dans package.json pour rien","S4","Ouvert"
"DEAD-02","P2-mineur","Dette technique","Route API jamais appelee + bouton jamais rendu","server.ts:429 (/api/synthesize-profile) ; src/components/Header.tsx:265 (#btn-open-distiller-header)","429 ; 265","grep -rn 'fetch(' src/ -> 3 appels uniquement (distill-experience x2, explore-horizons) ; getElementById('btn-open-distiller-header') -> null (branche else jamais atteinte car App passe toujours onOpenQuickAdd)","Code mort qui donne une fausse idee des capacites du produit","S4","Ouvert"
"API-01","P2-mineur","API","Aucun 404 sur les routes /api/* inconnues","server.ts","40 (express.json) ; 495-505 (middleware Vite puis app.get('*'))","curl -o /dev/null -w '%{http_code}' http://127.0.0.1:3000/api/unknown -> 200 (HTML du SPA)","Un client qui se trompe d'URL recoit du HTML et un JSON.parse qui echoue","S1","Ouvert"
"MODEL-01","P2-mineur","Configuration","Nom de modele code en dur a 3 endroits, sans variable d'environnement","server.ts","152, 374, 461 (model: 'gemini-3.7-flash')","grep -n 'model:' server.ts -> 3 occurrences identiques","Changer de modele = 3 editions ; pas de healthcheck exposant le mode reel","S1","Ouvert"
"SEC-03","P2-mineur","Sécurité","Aucune authentification, aucun rate-limiting, aucune validation d'entree","server.ts","40 (express.json({limit:'5mb'}) comme seule validation)","Lecture du code : 3 routes POST publiques sans controle","Acceptable en prototype local, bloquant des qu'il y a multi-utilisateurs","S6","Ouvert"
"DOC-01","P2-mineur","Documentation","Le document de tracabilite du projet est lui-meme obsolete","docs/ANALYSE_VERSIONS.md","(date du 24 aout 2026)","Le doc annonce '4 branches distantes, 2 PR mergees, ~30 commits' ; git ls-remote --heads origin -> 7 refs ; gh pr list --state all -> 6 PR mergees ; 152 commits cumules","Impossible de se fier au document pour retrouver un changement","S6","Ouvert"
"DOC-02","P2-mineur","Documentation","La doc decrit NetworkGraph comme un graphe three.js - c'est un canvas 2D","COGNITORIUM/docs/etat-des-lieux/02-proto-cognitorium.md (depot frere)","(section Composants)","grep -c three src/components/NetworkGraph.tsx -> 0 ; grep -c ""getContext('2d')"" -> 1 ; le seul import de three est dans ConstellationAtlas.tsx, jamais importe","Fausse l'arbitrage technique (la 3D est presentee comme deja la)","S6","Ouvert"
"DOC-03","P1-majeur","Documentation / tracabilité","docs/PsyRef/** (16 fichiers) supprime de main alors que les vues subsistent","docs/PsyRef/","16 fichiers (index, catalogue_sources.csv, grille_qualite_sources.md, taxonomie_psychologie.md, 10 README, NOTICE.md)","git diff --stat origin/arena/01a03899-proto-cognitorium origin/main -- docs/ -> 16 suppressions ; PsyRefView.tsx (494 l.), psyRefLibrary.ts et psyRefSources.ts toujours presents","La vue Reference s'affiche mais sa grille de qualite des sources a disparu du depot","S6","Ouvert"
"DOC-04","P2-mineur","Build / reproductibilité","Deux gestionnaires de paquets en concurrence","bun.lock ; package.json","(main a bun.lock, la PR #4 avait reintroduit package-lock.json)","git diff origin/arena/01a03899-... origin/main -> package-lock.json -4407 lignes, bun.lock +718 ; package.json n'a aucun script bun ; npm install fonctionne","Build non reproductible selon la machine","S6","Ouvert"
"GIT-01","P1-majeur","Traçabilité","main est un commit unique aplati - aucun blame ni historique exploitable","(git)","main = f83042c 'Add files via upload', clone shallow (.git/shallow = 1 ligne)","git log --oneline --all --decorate -> 1 commit sur main ; git rev-list --count origin/arena/01a03899-... -> 55 commits reels","Aucune regression localisable ; l'historique ne survit que dans les 6 branches arena/*","S6","Ouvert"
"GIT-02","P2-mineur","Traçabilité","Aucun suivi de bugs : 0 issue, 0 tag, 0 release","(GitHub)","(depot entier)","gh issue list --state all -> vide ; git tag -> vide ; gh release list -> vide","Les 24 anomalies de cet audit n'ont nulle part ou vivre ; d'ou docs/TRACEABILITE.csv","S6","Ouvert"
